Index,SampleID,Species,Project,SampleSite,Site,SiteWaypoint,Valley,CollectionYear,CollectionDate,WaypointName,NameGroup,UTMzone,Easting,Northing,Habitat,Collector,Affiliation,LibPrepYear,PreppedBy,Library,Well,Notes,RangeWidePhylo,RangeWidePopGen,JSWC
1,JR3_14,Relict dace,Johnson Springs Wetland Complex,Johnson Reservoir 3,GSJS,GSJS_JR3,Goshute Valley,2019,,JR3,JR,11,710043.43,4537645.92,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,A1,,,,Y
2,BSN_02,Relict dace,Johnson Springs Wetland Complex,Big Spring North,GSJS,GSJS_BSN,Goshute Valley,2019,,BSN,BS,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,B1,,Y,Y,Y
3,BSN_03,Relict dace,Johnson Springs Wetland Complex,Big Spring North,GSJS,GSJS_BSN,Goshute Valley,2019,,BSN,BS,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,C1,,Y,Y,Y
4,BSN_04,Relict dace,Johnson Springs Wetland Complex,Big Spring North,GSJS,GSJS_BSN,Goshute Valley,2019,,BSN,BS,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,D1,,Y,Y,Y
5,BSN_05,Relict dace,Johnson Springs Wetland Complex,Big Spring North,GSJS,GSJS_BSN,Goshute Valley,2019,,BSN,BS,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,E1,,Y,Y,Y
6,BSN_06,Relict dace,Johnson Springs Wetland Complex,Big Spring North,GSJS,GSJS_BSN,Goshute Valley,2019,,BSN,BS,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,F1,,Y,Y,Y
7,BSN_07,Relict dace,Johnson Springs Wetland Complex,Big Spring North,GSJS,GSJS_BSN,Goshute Valley,2019,,BSN,BS,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,G1,,Y,Y,Y
8,JR3_16,Relict dace,Johnson Springs Wetland Complex,Johnson Reservoir 3,GSJS,GSJS_JR3,Goshute Valley,2019,,JR3,JR,11,710043.43,4537645.92,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,H1,,,,Y
9,JR3_18,Relict dace,Johnson Springs Wetland Complex,Johnson Reservoir 3,GSJS,GSJS_JR3,Goshute Valley,2019,,JR3,JR,11,710043.43,4537645.92,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,A2,,,,Y
10,BSN_10,Relict dace,Johnson Springs Wetland Complex,Big Spring North,GSJS,GSJS_BSN,Goshute Valley,2019,,BSN,BS,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,B2,,Y,Y,Y
11,BSN_11,Relict dace,Johnson Springs Wetland Complex,Big Spring North,GSJS,GSJS_BSN,Goshute Valley,2019,,BSN,BS,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,C2,,Y,Y,Y
12,BSN_12,Relict dace,Johnson Springs Wetland Complex,Big Spring North,GSJS,GSJS_BSN,Goshute Valley,2019,,BSN,BS,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,D2,,Y,Y,Y
13,BSN_13,Relict dace,Johnson Springs Wetland Complex,Big Spring North,GSJS,GSJS_BSN,Goshute Valley,2019,,BSN,BS,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,E2,,Y,Y,Y
14,BSN_14,Relict dace,Johnson Springs Wetland Complex,Big Spring North,GSJS,GSJS_BSN,Goshute Valley,2019,,BSN,BS,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,F2,,,,Y
15,BSN_15,Relict dace,Johnson Springs Wetland Complex,Big Spring North,GSJS,GSJS_BSN,Goshute Valley,2019,,BSN,BS,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,G2,,,,Y
16,BSN_16,Relict dace,Johnson Springs Wetland Complex,Big Spring North,GSJS,GSJS_BSN,Goshute Valley,2019,,BSN,BS,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,H2,,,,Y
17,JR4_1,Relict dace,Johnson Springs Wetland Complex,Johnson Reservoir 4,GSJS,GSJS_JR4,Goshute Valley,2019,,JR4,JR,11,710205.36,4537886.16,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,A3,,,,Y
18,BSN_18,Relict dace,Johnson Springs Wetland Complex,Big Spring North,GSJS,GSJS_BSN,Goshute Valley,2019,,BSN,BS,11,709075.5212,4537940.161,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,B3,,,,Y
19,BSN_19,Relict dace,Johnson Springs Wetland Complex,Big Spring North,GSJS,GSJS_BSN,Goshute Valley,2019,,BSN,BS,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,C3,,,,Y
20,BSN_20,Relict dace,Johnson Springs Wetland Complex,Big Spring North,GSJS,GSJS_BSN,Goshute Valley,2019,,BSN,BS,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,D3,,,,Y
21,BSN_21,Relict dace,Johnson Springs Wetland Complex,Big Spring North,GSJS,GSJS_BSN,Goshute Valley,2019,,BSN,BS,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,E3,,,,Y
22,BSN_22,Relict dace,Johnson Springs Wetland Complex,Big Spring North,GSJS,GSJS_BSN,Goshute Valley,2019,,BSN,BS,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,F3,,,,Y
23,BSN_23,Relict dace,Johnson Springs Wetland Complex,Big Spring North,GSJS,GSJS_BSN,Goshute Valley,2019,,BSN,BS,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,G3,,,,Y
24,BSN_24,Relict dace,Johnson Springs Wetland Complex,Big Spring North,GSJS,GSJS_BSN,Goshute Valley,2019,,BSN,BS,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,H3,,,,Y
25,JR4_2,Relict dace,Johnson Springs Wetland Complex,Johnson Reservoir 4,GSJS,GSJS_JR4,Goshute Valley,2019,,JR4,JR,11,710205.36,4537886.16,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,A4,,,,Y
26,BSS_01,Relict dace,Johnson Springs Wetland Complex,Big Spring South,GSJS,GSJS_BSS,Goshute Valley,2019,,BSS,BS,11,709075.5212,4537940.161,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,B4,,,,Y
27,BSS_02,Relict dace,Johnson Springs Wetland Complex,Big Spring South,GSJS,GSJS_BSS,Goshute Valley,2019,,BSS,BS,11,709075.5212,4537940.161,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,C4,,,,Y
28,BSS_03,Relict dace,Johnson Springs Wetland Complex,Big Spring South,GSJS,GSJS_BSS,Goshute Valley,2019,,BSS,BS,11,709075.5212,4537940.161,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,D4,,,,Y
29,BSS_04,Relict dace,Johnson Springs Wetland Complex,Big Spring South,GSJS,GSJS_BSS,Goshute Valley,2019,,BSS,BS,11,709075.5212,4537940.161,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,E4,,,,Y
30,BSS_05,Relict dace,Johnson Springs Wetland Complex,Big Spring South,GSJS,GSJS_BSS,Goshute Valley,2019,,BSS,BS,11,709075.5212,4537940.161,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,F4,,,,Y
31,BSS_06,Relict dace,Johnson Springs Wetland Complex,Big Spring South,GSJS,GSJS_BSS,Goshute Valley,2019,,BSS,BS,11,709075.5212,4537940.161,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,G4,,,,Y
32,BSS_07,Relict dace,Johnson Springs Wetland Complex,Big Spring South,GSJS,GSJS_BSS,Goshute Valley,2019,,BSS,BS,11,709075.5212,4537940.161,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,H4,,,,Y
33,BSS_08,Relict dace,Johnson Springs Wetland Complex,Big Spring South,GSJS,GSJS_BSS,Goshute Valley,2019,,BSS,BS,11,709075.5212,4537940.161,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,A5,,,,Y
34,BSS_09,Relict dace,Johnson Springs Wetland Complex,Big Spring South,GSJS,GSJS_BSS,Goshute Valley,2019,,BSS,BS,11,709075.5212,4537940.161,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,B5,,,,Y
35,BSS_10,Relict dace,Johnson Springs Wetland Complex,Big Spring South,GSJS,GSJS_BSS,Goshute Valley,2019,,BSS,BS,11,709075.5212,4537940.161,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,C5,,,,Y
36,BSS_11,Relict dace,Johnson Springs Wetland Complex,Big Spring South,GSJS,GSJS_BSS,Goshute Valley,2019,,BSS,BS,11,709075.5212,4537940.161,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,D5,,,,Y
37,BSS_12,Relict dace,Johnson Springs Wetland Complex,Big Spring South,GSJS,GSJS_BSS,Goshute Valley,2019,,BSS,BS,11,709075.5212,4537940.161,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,E5,,,,Y
38,JR4_4,Relict dace,Johnson Springs Wetland Complex,Johnson Reservoir 4,GSJS,GSJS_JR4,Goshute Valley,2019,,JR4,JR,11,710205.36,4537886.16,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,F5,,,,Y
