SampleID,Species,Project,SampleSite,Valley,CollectionYear,CollectionDate,WaypointName,UTMzone,Easting,Northing,Habitat,Collector,Affiliation,LibPrepYear,PreppedBy,Library,Well,Notes
BSN_02,Relict dace,Johnson Springs Wetland Complex,Big Spring North,Goshute Valley,2019,,BSN,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,B1,
BSN_03,Relict dace,Johnson Springs Wetland Complex,Big Spring North,Goshute Valley,2019,,BSN,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,C1,
BSN_04,Relict dace,Johnson Springs Wetland Complex,Big Spring North,Goshute Valley,2019,,BSN,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,D1,
BSN_05,Relict dace,Johnson Springs Wetland Complex,Big Spring North,Goshute Valley,2019,,BSN,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,E1,
BSN_06,Relict dace,Johnson Springs Wetland Complex,Big Spring North,Goshute Valley,2019,,BSN,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,F1,
BSN_07,Relict dace,Johnson Springs Wetland Complex,Big Spring North,Goshute Valley,2019,,BSN,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,G1,
BSN_10,Relict dace,Johnson Springs Wetland Complex,Big Spring North,Goshute Valley,2019,,BSN,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,B2,
BSN_11,Relict dace,Johnson Springs Wetland Complex,Big Spring North,Goshute Valley,2019,,BSN,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,C2,
BSN_12,Relict dace,Johnson Springs Wetland Complex,Big Spring North,Goshute Valley,2019,,BSN,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,D2,
BSN_13,Relict dace,Johnson Springs Wetland Complex,Big Spring North,Goshute Valley,2019,,BSN,11,709112.432,4538023.224,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,E2,
D01_1,Relict dace,Johnson Springs Wetland Complex,DItch 01,Goshute Valley,2019,,D01,11,709843.8984,4539970.967,,Sarah Epstein,SWCA,2022,Melanie LaCava,5,D2,
D01_2,Relict dace,Johnson Springs Wetland Complex,DItch 01,Goshute Valley,2019,,D01,11,709843.8984,4539970.967,,Sarah Epstein,SWCA,2022,Melanie LaCava,5,E2,
D01_3,Relict dace,Johnson Springs Wetland Complex,DItch 01,Goshute Valley,2019,,D01,11,709843.8984,4539970.967,,Sarah Epstein,SWCA,2022,Melanie LaCava,5,F2,
D01_4,Relict dace,Johnson Springs Wetland Complex,DItch 01,Goshute Valley,2019,,D01,11,709843.8984,4539970.967,,Sarah Epstein,SWCA,2022,Melanie LaCava,5,G2,
D01_5,Relict dace,Johnson Springs Wetland Complex,DItch 01,Goshute Valley,2019,,D01,11,709843.8984,4539970.967,,Sarah Epstein,SWCA,2022,Melanie LaCava,5,H2,
D01_6,Relict dace,Johnson Springs Wetland Complex,DItch 01,Goshute Valley,2019,,D01,11,709843.8984,4539970.967,,Sarah Epstein,SWCA,2022,Melanie LaCava,5,A3,
D01_7,Relict dace,Johnson Springs Wetland Complex,DItch 01,Goshute Valley,2019,,D01,11,709843.8984,4539970.967,,Sarah Epstein,SWCA,2022,Melanie LaCava,5,B3,
D01_8,Relict dace,Johnson Springs Wetland Complex,DItch 01,Goshute Valley,2019,,D01,11,709843.8984,4539970.967,,Sarah Epstein,SWCA,2022,Melanie LaCava,5,C3,
D01_9,Relict dace,Johnson Springs Wetland Complex,DItch 01,Goshute Valley,2019,,D01,11,709843.8984,4539970.967,,Sarah Epstein,SWCA,2022,Melanie LaCava,5,D3,
D01_10,Relict dace,Johnson Springs Wetland Complex,DItch 01,Goshute Valley,2019,,D01,11,709843.8984,4539970.967,,Sarah Epstein,SWCA,2022,Melanie LaCava,5,E3,
D09_01,Relict dace,Johnson Springs Wetland Complex,Ditch 09,Goshute Valley,2019,,D09,11,709700.2836,4538678.394,,Sarah Epstein,SWCA,2022,Melanie LaCava,5,F10,
D09_02,Relict dace,Johnson Springs Wetland Complex,Ditch 09,Goshute Valley,2019,,D09,11,709700.2836,4538678.394,,Sarah Epstein,SWCA,2022,Melanie LaCava,5,G10,
D09_03,Relict dace,Johnson Springs Wetland Complex,Ditch 09,Goshute Valley,2019,,D09,11,709700.2836,4538678.394,,Sarah Epstein,SWCA,2022,Melanie LaCava,5,H10,
