SampleID,Path,Species,Project,SampleSite,Valley,CollectionYear,CollectionDate,WaypointName,UTMzone,Easting,Northing,Habitat,Collector,Affiliation,LibPrepYear,PreppedBy,Library,Well,Notes
BSN_02,/home/mlacava/align/RAD_alignments/BSN_02_sorted_proper_rmdup.bam,Relict dace,Johnson Springs Wetland Complex,Big Spring North,Goshute Valley,2019,NA,BSN,11,709112.432,4538023.224,NA,Sarah Epstein,SWCA,2022,Melanie LaCava,1,B1,NA
BSN_03,/home/mlacava/align/RAD_alignments/BSN_03_sorted_proper_rmdup.bam,Relict dace,Johnson Springs Wetland Complex,Big Spring North,Goshute Valley,2019,NA,BSN,11,709112.432,4538023.224,NA,Sarah Epstein,SWCA,2022,Melanie LaCava,1,C1,NA
BSN_06,/home/mlacava/align/RAD_alignments/BSN_06_sorted_proper_rmdup.bam,Relict dace,Johnson Springs Wetland Complex,Big Spring North,Goshute Valley,2019,NA,BSN,11,709112.432,4538023.224,NA,Sarah Epstein,SWCA,2022,Melanie LaCava,1,F1,NA
BSN_07,/home/mlacava/align/RAD_alignments/BSN_07_sorted_proper_rmdup.bam,Relict dace,Johnson Springs Wetland Complex,Big Spring North,Goshute Valley,2019,NA,BSN,11,709112.432,4538023.224,NA,Sarah Epstein,SWCA,2022,Melanie LaCava,1,G1,NA
BSN_10,/home/mlacava/align/RAD_alignments/BSN_10_sorted_proper_rmdup.bam,Relict dace,Johnson Springs Wetland Complex,Big Spring North,Goshute Valley,2019,NA,BSN,11,709112.432,4538023.224,NA,Sarah Epstein,SWCA,2022,Melanie LaCava,1,B2,NA
BSN_11,/home/mlacava/align/RAD_alignments/BSN_11_sorted_proper_rmdup.bam,Relict dace,Johnson Springs Wetland Complex,Big Spring North,Goshute Valley,2019,NA,BSN,11,709112.432,4538023.224,NA,Sarah Epstein,SWCA,2022,Melanie LaCava,1,C2,NA
BSN_12,/home/mlacava/align/RAD_alignments/BSN_12_sorted_proper_rmdup.bam,Relict dace,Johnson Springs Wetland Complex,Big Spring North,Goshute Valley,2019,NA,BSN,11,709112.432,4538023.224,NA,Sarah Epstein,SWCA,2022,Melanie LaCava,1,D2,NA
COR_01,/home/mlacava/align/RAD_alignments/COR_01_sorted_proper_rmdup.bam,Relict dace,NA,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,10,F10,NA
COR_02,/home/mlacava/align/RAD_alignments/COR_02_sorted_proper_rmdup.bam,Relict dace,NA,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,10,G10,NA
COR_03,/home/mlacava/align/RAD_alignments/COR_03_sorted_proper_rmdup.bam,Relict dace,NA,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,A3,NA
COR_04,/home/mlacava/align/RAD_alignments/COR_04_sorted_proper_rmdup.bam,Relict dace,NA,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,10,H10,NA
COR_05,/home/mlacava/align/RAD_alignments/COR_05_sorted_proper_rmdup.bam,Relict dace,NA,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,10,A11,NA
COR_06,/home/mlacava/align/RAD_alignments/COR_06_sorted_proper_rmdup.bam,Relict dace,NA,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,10,C11,NA
COR_07,/home/mlacava/align/RAD_alignments/COR_07_sorted_proper_rmdup.bam,Relict dace,NA,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,B3,NA
COR_08,/home/mlacava/align/RAD_alignments/COR_08_sorted_proper_rmdup.bam,Relict dace,NA,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,14,C3,NA
COR_09,/home/mlacava/align/RAD_alignments/COR_09_sorted_proper_rmdup.bam,Relict dace,NA,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,10,E11,NA
COR_10,/home/mlacava/align/RAD_alignments/COR_10_sorted_proper_rmdup.bam,Relict dace,NA,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,10,F11,NA
COR_11,/home/mlacava/align/RAD_alignments/COR_11_sorted_proper_rmdup.bam,Relict dace,NA,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,10,A12,NA
COR_12,/home/mlacava/align/RAD_alignments/COR_12_sorted_proper_rmdup.bam,Relict dace,NA,Cordano Ranch,Butte Valley,2022,2/10/22,COR,11,691347,4437850,Spring head and spring brook,Heath Korell,Nevada Department of Wildlife,2022,Melanie LaCava,10,B12,NA
