plate,lane1,lane2,lane8
plate01,30053904,30616974,29975631
plate02,39720778,40441443,39687867
plate03,39176344,39987778,39265002
plate04,29184867,29817333,28899868
plate05,49644870,50624603,49507917
plate06,27065981,27699794,27569043
plate07,28211478,28753255,30106428
plate08,26230545,26799571,26476742
plate09,18959209,19370054,19923798
plate10,30679158,31229363,32557287
plate11,35961109,36580499,36423840
plate12,33893252,34485823,34505609
plate13,33232162,33940456,32753082
plate14,18742140,19096657,19201932
plate15,27416815,28069351,27180917
unmatched,29736540,30927709,43223593
TOTAL,497909152,508440663,517258556
Percent matched,0.79,0.08,0.8
