pop1,pop2,UnweightFst,WeightFst
BTOC,BTQP,0.017277,0.016559
BTOC,BTST_NSR,0.070108,0.159741
BTOC,BTST,0.050772,0.169156
BTOC,RBFL,0.033326,0.068559
BTOC,RBFR,0.037257,0.066682
BTOC,RBRL_P226,0.043450,0.101420
BTOC,RBRL_P246,0.044100,0.059409
BTQP,BTST_NSR,0.066658,0.161213
BTQP,BTST,0.055284,0.170543
BTQP,RBFL,0.036030,0.069627
BTQP,RBFR,0.036649,0.068661
BTQP,RBRL_P226,0.045138,0.104941
BTQP,RBRL_P246,0.042929,0.062889
BTST,BTST_NSR,0.027790,0.014963
BTST,RBFL,0.053614,0.162548
BTST,RBFR,0.055007,0.166566
BTST,RBRL_P226,0.100089,0.198731
BTST,RBRL_P246,0.072769,0.158947
BTST_NSR,RBFL,0.069425,0.157171
BTST_NSR,RBFR,0.061004,0.154310
BTST_NSR,RBRL_P226,0.065327,0.186872
BTST_NSR,RBRL_P246,0.063073,0.146226
GSJS_BS,GSJS_BSN,0.082430,0.037800
GSJS_BS,GSJS_CS02,0.068075,0.142680
GSJS_BS,GSJS_CS03,0.063755,0.145727
GSJS_BS,GSJS_CS04,0.079764,0.128654
GSJS_BS,GSJS_CS11,0.068646,0.115175
GSJS_BS,GSJS_CS16,0.045824,0.093761
GSJS_BS,GSJS_CS22A,0.049305,0.109000
GSJS_BS,GSJS_D01,0.048485,0.112724
GSJS_BS,GSJS_D09,0.057668,0.107663
GSJS_BS,GSJS_NS03,0.059219,0.079125
GSJS_BS,GSJS_NS05,0.061016,0.079317
GSJS_BS,GSJS_SS19,0.054356,0.086195
GSJS_BS,SPKR,0.060335,0.150223
GSJS_BS,SPSH,0.056538,0.134924
GSJS_BS,STCO,0.070924,0.189264
GSJS_BS,STMR,0.064745,0.166280
GSJS_BS,STPR_BT2,0.057030,0.136554
GSJS_BS,STPR_FT1,0.063652,0.136609
GSJS_BS,STRT,0.045223,0.105636
GSJS_BS,STWA,0.041685,0.101713
GSJS_BSN,GSJS_CS02,0.112079,0.152635
GSJS_BSN,GSJS_CS03,0.109046,0.155873
GSJS_BSN,GSJS_CS04,0.096146,0.136278
GSJS_BSN,GSJS_CS11,0.094908,0.121640
GSJS_BSN,GSJS_CS16,0.115876,0.100689
GSJS_BSN,GSJS_CS22A,0.128295,0.112916
GSJS_BSN,GSJS_D01,0.086386,0.070292
GSJS_BSN,GSJS_D09,0.072595,0.062203
GSJS_BSN,GSJS_NS03,0.074740,0.085402
GSJS_BSN,GSJS_NS05,0.075580,0.086628
GSJS_BSN,GSJS_SS19,0.085991,0.091879
GSJS_BSN,SPKR,0.151600,0.155546
GSJS_BSN,SPSH,0.140015,0.137570
GSJS_BSN,STCO,0.176984,0.131618
GSJS_BSN,STMR,0.165985,0.173442
GSJS_BSN,STPR_BT2,0.147852,0.141874
GSJS_BSN,STPR_FT1,0.114570,0.140198
GSJS_BSN,STRT,0.116191,0.107806
GSJS_BSN,STWA,0.127952,0.104607
GSJS_CS02,GSJS_CS03,0.067462,0.154419
GSJS_CS02,GSJS_CS04,0.072443,0.136363
GSJS_CS02,GSJS_CS11,0.062486,0.124036
GSJS_CS02,GSJS_CS16,0.047999,0.101876
GSJS_CS02,GSJS_CS22A,0.055494,0.115038
GSJS_CS02,GSJS_D01,0.059815,0.119579
GSJS_CS02,GSJS_D09,0.055469,0.117176
GSJS_CS02,GSJS_NS03,0.049985,0.087827
GSJS_CS02,GSJS_NS05,0.050699,0.087826
GSJS_CS02,GSJS_SS19,0.053946,0.096933
GSJS_CS02,SPKR,0.069230,0.159739
GSJS_CS02,SPSH,0.061869,0.141716
GSJS_CS02,STCO,0.107173,0.192755
GSJS_CS02,STMR,0.079813,0.174132
GSJS_CS02,STPR_BT2,0.069227,0.143110
GSJS_CS02,STPR_FT1,0.066851,0.144589
GSJS_CS02,STRT,0.046143,0.110573
GSJS_CS02,STWA,0.043103,0.106458
GSJS_CS03,GSJS_CS04,0.070596,0.142196
GSJS_CS03,GSJS_CS11,0.060289,0.127316
GSJS_CS03,GSJS_CS16,0.045487,0.103379
GSJS_CS03,GSJS_CS22A,0.051948,0.117773
GSJS_CS03,GSJS_D01,0.057902,0.122334
GSJS_CS03,GSJS_D09,0.053560,0.118548
GSJS_CS03,GSJS_NS03,0.048562,0.091300
GSJS_CS03,GSJS_NS05,0.049615,0.092086
GSJS_CS03,GSJS_SS19,0.051824,0.098118
GSJS_CS03,SPKR,0.063950,0.155388
GSJS_CS03,SPSH,0.057176,0.137027
GSJS_CS03,STCO,0.098142,0.191058
GSJS_CS03,STMR,0.073220,0.170905
GSJS_CS03,STPR_BT2,0.062634,0.139823
GSJS_CS03,STPR_FT1,0.061496,0.138612
GSJS_CS03,STRT,0.041780,0.105819
GSJS_CS03,STWA,0.039782,0.103239
GSJS_CS04,GSJS_CS11,0.060148,0.108778
GSJS_CS04,GSJS_CS16,0.052763,0.086142
GSJS_CS04,GSJS_CS22A,0.062578,0.098673
GSJS_CS04,GSJS_D01,0.065959,0.103711
GSJS_CS04,GSJS_D09,0.053893,0.098788
GSJS_CS04,GSJS_NS03,0.045660,0.072230
GSJS_CS04,GSJS_NS05,0.046142,0.073492
GSJS_CS04,GSJS_SS19,0.053449,0.079229
GSJS_CS04,SPKR,0.078921,0.143930
GSJS_CS04,SPSH,0.068618,0.124464
GSJS_CS04,STCO,0.125492,0.178584
GSJS_CS04,STMR,0.093656,0.160978
GSJS_CS04,STPR_BT2,0.081070,0.127524
GSJS_CS04,STPR_FT1,0.070363,0.126239
GSJS_CS04,STRT,0.050265,0.094331
GSJS_CS04,STWA,0.048114,0.091414
GSJS_CS11,GSJS_CS16,0.047187,0.072691
GSJS_CS11,GSJS_CS22A,0.054948,0.084466
GSJS_CS11,GSJS_D01,0.052470,0.090972
GSJS_CS11,GSJS_D09,0.047648,0.083736
GSJS_CS11,GSJS_NS03,0.041852,0.057802
GSJS_CS11,GSJS_NS05,0.042913,0.059350
GSJS_CS11,GSJS_SS19,0.045972,0.065974
GSJS_CS11,SPKR,0.070058,0.130401
GSJS_CS11,SPSH,0.061972,0.113555
GSJS_CS11,STCO,0.100238,0.166685
