Tip,ToLabel,Type,Species,Valley,SampleSite,Count,Mean
Tui_Chub,Owens Tui Chub,Previous site,Owens Tui Chub,,CD Spring,4,542690
CordanoRanch,STCO,Newly sampled,Relict dace,Butte Valley,Cordano Ranch,10,1330935
SpringNorthOfStrattonRanch,BTST_NSR,Newly sampled,Relict dace,Butte Valley,Spring north of Stratton Ranch,10,610934.6
StrattonRanch,BTST,Previous site,Relict dace,Butte Valley,Stratton Ranch,10,1191847.8
BigSpringNorth,GSJS_BSN,Newly sampled,Relict dace,Goshute Valley,Big Spring North,7,253001.2857
Ditch01,GSJS_D01,Newly sampled,Relict dace,Goshute Valley,DItch 01,10,1401989.7
Ditch09,GSJS_D09,Newly sampled,Relict dace,Goshute Valley,Ditch 09,10,1044155.6
OdgersCreek,BTOC,Previous site,Relict Dace,Butte Valley,Odger's Creek,10,942801.6
QuiliciPond,BTQP,Previous site,Relict Dace,Butte Valley,Quilici Pond,10,841445.9
JohnsonSprings,GSJS,Previous site,Relict Dace,Goshute Valley,Johnson Springs Wetland Complex,10,959613.6
TwinSprings,GSTS,Previous site,Relict Dace,Goshute Valley,Twin Springs,10,780189
FranklinLake,RBFL,Previous site,Relict Dace,Ruby Valley,Franklin Lake,10,972866.5
FranklinRiver,RBFR,Previous site,Relict Dace,Ruby Valley,Franklin River,10,573735.2
RubyLakeP226,RBRL_P226,Previous site,Relict Dace,Ruby Valley,"Ruby Lake, Pond 226",8,675641.625
RubyLakeP246,RBRL_P246,Previous site,Relict Dace,Ruby Valley,"Ruby Lake, Pond 246",10,681784
KeeganRanch,SPKR,Previous site,Relict Dace,Spring Valley,Keegan Ranch,10,697252.4
Stonehouse,SPSH,Previous site,Relict Dace,Spring Valley,Stonehouse,10,819444.1
MorrisonRanch,STMR,Previous site,Relict Dace,Steptoe Valley,Morrison Ranch,10,848281.5
PhillipsRanch,STPR,Previous site,Relict Dace,Steptoe Valley,Phillips Ranch,10,848818.8
STRT,STRT,Previous site,Relict Dace,Steptoe Valley,Rio Tinto/Kennecott Copper Corporation,10,859872.4
SteptoeValleyWildlifeManagementArea,STWA,Previous site,Relict Dace,Steptoe Valley,Steptoe Valley Wildlife Management Area,10,854840.6
Speckled_Dace,Speckled Dace,Previous site,Speckled Dace,,Humboldt River,2,449127
Speckled_Dace,Speckled Dace,Previous site,Speckled Dace,,Walker River,2,318191.5
